公司代號,公司名稱,市場別
1101,臺灣水泥股份有限公司,TWSE
1102,亞洲水泥股份有限公司,TWSE
1103,嘉新水泥股份有限公司,TWSE
1104,環球水泥股份有限公司,TWSE
1108,幸福水泥股份有限公司,TWSE
1109,信大水泥股份有限公司,TWSE
1110,東南水泥股份有限公司,TWSE
1201,味全食品工業股份有限公司,TWSE
1203,味王股份有限公司,TWSE
1210,大成長城企業股份有限公司,TWSE
1213,大西洋飲料股份有限公司,TWSE
1215,台灣卜蜂企業股份有限公司,TWSE
1216,統一企業股份有限公司,TWSE
1217,愛之味股份有限公司,TWSE
1218,泰山企業股份有限公司,TWSE
1219,福壽實業股份有限公司,TWSE
1220,台榮產業股份有限公司,TWSE
1225,福懋油脂股份有限公司,TWSE
1227,佳格食品股份有限公司,TWSE
1229,聯華實業控股股份有限公司,TWSE
1231,聯華食品工業股份有限公司,TWSE
1232,大統益股份有限公司,TWSE
1233,天仁茶業股份有限公司,TWSE
1234,黑松股份有限公司,TWSE
1235,興泰實業股份有限公司,TWSE
1236,宏亞食品股份有限公司,TWSE
1256,鮮活控股股份有限公司,TWSE
1301,台灣塑膠工業股份有限公司,TWSE
1303,南亞塑膠工業股份有限公司,TWSE
1304,台灣聚合化學品股份有限公司,TWSE
1305,華夏海灣塑膠股份有限公司,TWSE
1307,三芳化學工業股份有限公司,TWSE
1308,亞洲聚合股份有限公司,TWSE
1309,台達化學工業股份有限公司,TWSE
1310,台灣苯乙烯工業股份有限公司,TWSE
1312,國喬石油化學股份有限公司,TWSE
1313,聯成化學科技股份有限公司,TWSE
1314,中國石油化學工業開發(股)公司,TWSE
1315,達新工業股份有限公司,TWSE
1316,上曜建設開發股份有限公司,TWSE
1319,東陽實業廠股份有限公司,TWSE
1321,大洋塑膠工業股份有限公司,TWSE
1323,永裕塑膠工業股份有限公司,TWSE
1324,地球綜合工業股份有限公司,TWSE
1325,恒大股份有限公司,TWSE
1326,台灣化學纖維股份有限公司,TWSE
1337,亞洲塑膠再生資源控股有限公司,TWSE
1338,廣華控股有限公司,TWSE
1339,昭輝實業股份有限公司,TWSE
1340,勝悅新材料有限公司,TWSE
1341,富林塑膠工業(開曼)控股(股)公司,TWSE
1342,八貫企業股份有限公司,TWSE
1402,遠東新世紀股份有限公司,TWSE
1409,新光合成纖維股份有限公司,TWSE
1410,南洋染整股份有限公司,TWSE
1413,宏洲纖維工業股份有限公司,TWSE
1414,東和紡織股份有限公司,TWSE
1416,廣豐實業股份有限公司,TWSE
1417,嘉裕股份有限公司,TWSE
1418,東華龍股份有限公司,TWSE
1419,新光紡織股份有限公司,TWSE
1423,利華羊毛工業股份有限公司,TWSE
1432,大魯閣實業股份有限公司,TWSE
1434,福懋興業股份有限公司,TWSE
1435,中福國際(股)公司,TWSE
1436,華友聯開發股份有限公司,TWSE
1437,勤益投資控股股份有限公司,TWSE
1438,三地開發地產股份有限公司,TWSE
1439,雋揚國際股份有限公司,TWSE
1440,臺南紡織股份有限公司,TWSE
1441,大東紡織股份有限公司,TWSE
1442,名軒開發股份有限公司,TWSE
1443,立益物流開發股份有限公司,TWSE
1444,力麗企業股份有限公司,TWSE
1445,大宇紡織股份有限公司,TWSE
1446,宏和精密紡織股份有限公司,TWSE
1447,力鵬企業股份有限公司,TWSE
1449,佳和實業股份有限公司,TWSE
1451,年興紡織股份有限公司,TWSE
1452,宏益纖維工業股份有限公司,TWSE
1453,大將開發股份有限公司,TWSE
1454,台灣富綢纖維股份有限公司,TWSE
1455,集盛實業股份有限公司,TWSE
1456,怡華實業股份有限公司,TWSE
1457,宜進實業股份有限公司,TWSE
1459,聯發紡織纖維股份有限公司,TWSE
1460,宏遠興業股份有限公司,TWSE
1463,強盛新股份有限公司,TWSE
1464,得力實業股份有限公司,TWSE
1465,偉全實業股份有限公司,TWSE
